Square in back of House 117,NH
In front of 203's store,OT
Country in front of house 102,NH
On path from House 102 to village,NH
Area in front of House 16 ,NH
Irrigation ditch where it crosses main road to village,NH
Near bamboo grove in big square on two logs.,OT
Square in front of House 5,NH
on the river bank in back of House 102,NH
Courtyard of House 9,NH
On the river in back of House 102,NH
T'u Ti Kung temple,OV
Courtyard in front of House 19b,NH
In front of Li Jang's Store,OT
In front of House 15,NH
Under the Big Tree,NH
House 18,NH
Back of House 18,NH
In front of House 18,NH
Center around big tree,NH
Back of House 9,NH
House 4,NH
In front of 109,NH
Yard of House 117,NH
Back of House 101 in garbage dump,NH
Yard in front of House 102,NH
Two logs near the big tree,NH
In front of house 115,NH
Bamboo tree in the Center,OT
Main square,OT
Creek in back of House 104,NH
Bamboo tree by House 17,NH
In front of House6,NH
Side of House 17,NH
Road in front of 3rd store on way to Western Village,OT
Under bamboo tree in Center,OT
Corner of House 10,NH
Corner of House 8,NH
In front of House 10,NH
House 19 by the river,NH
Center,OT
Fifteen pump room of House 117,NH
Garden near House 17,NH
In front of House116,NH
In front of House 1a,NH
In front of House 8,NH
Inside House 117,NH
Well in front of House 4,NH
Guava tree by House 14,NH
Ditch near House 106,NH
In front of House 104,NH
Front of House 4,NH
Corner of House 116,NH
In front of House 110,NH
House 22,NH
Inside House 107,NH
House 18&19,NH
garbage dump in back of House 117,NH
Li Jang's store,OT
Down at the river,OT
By the third store,NH
Under the bamboo tree behind House 15,NH
Location,OV
Schoolyard,OV
Classroom,OV
Schoolyard and classroom,OV
"Schoolyard, at the well",OV
Schoolyard on swing.,OV
Path on the way home from school,OV
See-saw at school,OV
School,OV
Schoolyard on tree,OV
In classroom,OV
Sidewalk at school,OV
School grounds,OV
Classroom & schoolyard,OV
Walk inside of the school,OV
Behind Teacher's Office,OV
Inside classroom,OV
Behind one of the classrooms next to the ditch.,OV
In and out of classroom,OV
In a classroom,OV
By a classroom,OV
Half way between village & school,OV
Front of Teacher's office,OV
Inside the classroom,OV
Road to school,OV
By teacher's office,OV
Near teacher's office,OV
In the classroom,OV
Path by teacher's office,OV
In front of classroom,OV
Front of classroom,OV
Path to school,OV
School yard,OV
By the classroom,OV
Swings at school,OV
Inside of classroom,OV
Swings,OV
Behind classroom,OV
Front of classrooms,OV
Inside classrooms,OV
In and out of the classroom,OV
On the swings,OV
Swings in schoolyard,OV
See-saws (Schoolyard),OV
In the schoolyard,OV
"By the swings, schoolyard",OV
Sidewalk in front of classroom,OV
Sidewalk front of classroom,OV
Swings (schoolyard),OV
Inside classroom ,OV
Path front of Teacher's Office,OV
Path front of classroom,OV
Walk in front of classrooms,OV
Path in front of classroom,OV
By ditch behind classrooms,OV
Behind the teacher's office,OV
